"LIBNAME","ZIP","POPU_LSA","CENTLIB","BRANLIB","MASTER","LIBRARIA","OTHPAID","TOTSTAFF","LOCGVT","STGVT","FEDGVT","TOTINCM","SALARIES","TOTEXPCO","TOTOPEXP","CAP_REV","CAPITAL","HRS_OPEN","VISITS","REGBOR","TOTCIR","TOTCOLL","TOTPRO","TOTATTEN","PITUSR","WIFISESS","LONGITUD","LATITUDE","CNTYPOP"
"WALDRON DISTRICT LIBRARY",49288,2475,1,0,0,0.88,0.73,1.61,55929,1716,0,74594,-9,5534,66171,226,226,1631,6747,719,8809,8809,153,1236,1610,1108,-84.4188,41.72798,45749
"WALKERVILLE PUBLIC/SCHOOL LIBRARY",49459,1968,1,0,0.4,0.4,0,0.4,24662,1443,0,26105,-9,1056,26105,0,0,832,600,25,4800,4800,1,20,100,0,-86.1216,43.715089999999996,26625
"WALLED LAKE CITY LIBRARY",48390,6999,1,0,2.2,2.2,1.75,3.95,340784,4852,2436,359710,147905,47359,332825,0,2154,2741,35358,2366,46255,46255,84,1367,13377,2051,-83.4723,42.53893,1259201
"WALTON ERICKSON PUBLIC LIBRARY",49336,9514,1,0,0,0.93,0.93,1.86,71042,6596,0,95082,-9,10823,78556,2000,681,1732,9724,11380,21399,21401,37,534,5200,940,-85.4435,43.54372,43545
"SPRING LAKE DISTRICT LIBRARY",49456,18260,1,0,4.15,7.7,10.35,18.05,1493568,13837,0,1610720,683315,135118,1386933,0,39964,3052,160409,7488,233693,236095,445,13799,14862,7900,-86.1955,43.07565,290494
"WARREN PUBLIC LIBRARY",48093,134056,1,3,9,13.43,14.83,28.26,4505966,87686,0,4697038,1400235,353556,4111951,0,164468,9799,288043,72578,456605,482706,872,18827,73527,104380,-83.0253,42.51127,874759
"WATERFORD TOWNSHIP PUBLIC LIBRARY",48329,71997,1,0,10,10,12.1,22.1,1947254,47093,0,2076229,1043422,184741,2060562,0,15667,2898,616181,22112,266484,293630,467,10824,62390,15216,-83.3894,42.66985,1259201
"WATERTOWN TOWNSHIP LIBRARY",48435,2202,1,0,0,0.7,0,0.7,14271,2374,0,17465,-9,2400,15906,0,0,1456,5439,520,7538,7538,9,357,419,0,-83.372,43.25002,52516
"WATERVLIET DISTRICT LIBRARY",49098,4837,1,0,0.8,0.8,2.68,3.48,231311,3353,0,247046,107035,24885,176959,8215,11730,2444,35096,7208,37116,37116,247,2493,5217,5596,-86.2601,42.188720000000004,154141
"WEST BLOOMFIELD TOWNSHIP PUBLIC LIBRARY",48323,71755,1,1,14.35,15.9,21,36.9,5054273,49747,0,5529531,1805325,1241172,4667291,0,189990,7393,1067112,69004,2929062,3058935,1435,66897,110574,154454,-83.3733,42.5572,1259201
